Date,Close
05/14/2024,"19073.71"
05/13/2024,"19115.06"
05/10/2024,"18963.68"
05/09/2024,"18537.81"
05/08/2024,"18313.86"
05/07/2024,"18479.37"
05/06/2024,"18578.30"
05/03/2024,"18475.92"
05/02/2024,"18207.13"
04/30/2024,"17763.03"
04/29/2024,"17746.91"
04/26/2024,"17651.15"
04/25/2024,"17284.54"
04/24/2024,"17201.27"
04/23/2024,"16828.93"
04/22/2024,"16511.69"
04/19/2024,"16224.14"
04/18/2024,"16385.87"
04/17/2024,"16251.84"
04/16/2024,"16248.97"
04/15/2024,"16600.46"
04/12/2024,"16721.69"
04/11/2024,"17095.03"
04/10/2024,"17139.17"
04/09/2024,"16828.07"
04/08/2024,"16732.85"
04/05/2024,"16723.92"
04/03/2024,"16725.10"
04/02/2024,"16931.52"
03/28/2024,"16541.42"
03/27/2024,"16392.84"
03/26/2024,"16618.32"
03/25/2024,"16473.64"
03/22/2024,"16499.47"
03/21/2024,"16863.10"
03/20/2024,"16543.07"
03/19/2024,"16529.48"
03/18/2024,"16737.12"
03/15/2024,"16720.89"
03/14/2024,"16961.66"
03/13/2024,"17082.11"
03/12/2024,"17093.50"
03/11/2024,"16587.57"
03/08/2024,"16353.39"
03/07/2024,"16229.78"
03/06/2024,"16438.09"
03/05/2024,"16162.64"
03/04/2024,"16595.97"
03/01/2024,"16589.44"
02/29/2024,"16511.44"
02/28/2024,"16536.85"
02/27/2024,"16790.80"
02/26/2024,"16634.74"
02/23/2024,"16725.86"
02/22/2024,"16742.95"
02/21/2024,"16503.10"
02/20/2024,"16247.51"
02/19/2024,"16155.61"
02/16/2024,"16339.96"
02/15/2024,"15944.63"
02/14/2024,"15879.38"
02/09/2024,"15746.58"
02/08/2024,"15878.07"
02/07/2024,"16081.89"
02/06/2024,"16136.87"
02/05/2024,"15510.01"
02/02/2024,"15533.56"
02/01/2024,"15566.21"
01/31/2024,"15485.07"
01/30/2024,"15703.45"
01/29/2024,"16077.24"
01/26/2024,"15952.23"
01/25/2024,"16211.96"
01/24/2024,"15899.87"
01/23/2024,"15353.98"
01/22/2024,"14961.18"
01/19/2024,"15308.69"
01/18/2024,"15391.79"
01/17/2024,"15276.90"
01/16/2024,"15865.92"
01/15/2024,"16216.33"
01/12/2024,"16244.58"
01/11/2024,"16302.04"
01/10/2024,"16097.28"
01/09/2024,"16190.02"
01/08/2024,"16224.45"
01/05/2024,"16535.33"
01/04/2024,"16645.98"
01/03/2024,"16646.41"
01/02/2024,"16788.55"
12/29/2023,"17047.39"
12/28/2023,"17043.53"
12/27/2023,"16624.84"
12/22/2023,"16340.41"
12/21/2023,"16621.13"
12/20/2023,"16613.81"
12/19/2023,"16505.00"
12/18/2023,"16629.23"
12/15/2023,"16792.19"
12/14/2023,"16402.19"
12/13/2023,"16228.75"
12/12/2023,"16374.50"
12/11/2023,"16201.49"
12/08/2023,"16334.37"
12/07/2023,"16345.89"
12/06/2023,"16463.26"
12/05/2023,"16327.86"
12/04/2023,"16646.05"
12/01/2023,"16830.30"
11/30/2023,"17042.88"
11/29/2023,"16993.44"
11/28/2023,"17354.14"
11/27/2023,"17525.06"
11/24/2023,"17559.42"
11/23/2023,"17910.84"
11/22/2023,"17734.60"
11/21/2023,"17733.89"
11/20/2023,"17778.07"
11/17/2023,"17454.19"
11/16/2023,"17832.82"
11/15/2023,"18079.00"
11/14/2023,"17396.86"
11/13/2023,"17426.21"
11/10/2023,"17203.26"
11/09/2023,"17511.29"
11/08/2023,"17568.46"
11/07/2023,"17670.16"
11/06/2023,"17966.59"
11/03/2023,"17664.12"
11/02/2023,"17230.59"
11/01/2023,"17101.78"
10/31/2023,"17112.48"
10/30/2023,"17406.36"
10/27/2023,"17398.73"
10/26/2023,"17044.61"
10/25/2023,"17085.33"
10/24/2023,"16991.53"
10/20/2023,"17172.13"
10/19/2023,"17295.89"
10/18/2023,"17732.52"
10/17/2023,"17773.34"
10/16/2023,"17640.36"
10/13/2023,"17813.45"
10/12/2023,"18238.21"
10/11/2023,"17893.10"
10/10/2023,"17664.73"
10/09/2023,"17517.40"
10/06/2023,"17485.98"
10/05/2023,"17213.87"
10/04/2023,"17195.84"
10/03/2023,"17331.22"
09/29/2023,"17809.66"
09/28/2023,"17373.03"
09/27/2023,"17611.87"
09/26/2023,"17466.90"
09/25/2023,"17729.29"
09/22/2023,"18057.45"
09/21/2023,"17655.41"
09/20/2023,"17885.60"
09/19/2023,"17997.17"
09/18/2023,"17930.55"
09/15/2023,"18182.89"
09/14/2023,"18047.92"
09/13/2023,"18009.22"
09/12/2023,"18025.89"
09/11/2023,"18096.45"
09/07/2023,"18202.07"
09/06/2023,"18449.98"
09/05/2023,"18456.91"
09/04/2023,"18844.16"
08/31/2023,"18382.06"
08/30/2023,"18482.86"
08/29/2023,"18484.03"
08/28/2023,"18130.74"
08/25/2023,"17956.38"
08/24/2023,"18212.17"
08/23/2023,"17845.92"
08/22/2023,"17791.01"
08/21/2023,"17623.29"
08/18/2023,"17950.85"
08/17/2023,"18326.63"
08/16/2023,"18329.30"
08/15/2023,"18581.11"
08/14/2023,"18773.55"
08/11/2023,"19075.19"
08/10/2023,"19248.26"
08/09/2023,"19246.03"
08/08/2023,"19184.17"
08/07/2023,"19537.92"
08/04/2023,"19539.46"
08/03/2023,"19420.87"
08/02/2023,"19517.38"
08/01/2023,"20011.12"
07/31/2023,"20078.94"
07/28/2023,"19916.56"
07/27/2023,"19639.11"
07/26/2023,"19365.14"
07/25/2023,"19434.40"
07/24/2023,"18668.15"
07/21/2023,"19075.26"
07/20/2023,"18928.02"
07/19/2023,"18952.31"
07/18/2023,"19015.72"
07/17/2023,"19413.78"
07/14/2023,"19413.78"
07/13/2023,"19350.62"
07/12/2023,"18860.95"
07/11/2023,"18659.83"
07/10/2023,"18479.72"
07/07/2023,"18365.70"
07/06/2023,"18533.05"
07/05/2023,"19110.38"
