Date,Close
08/21/2024,"12,187.44"
08/20/2024,"12,103.82"
08/19/2024,"12,023.03"
08/18/2024,"11,981.40"
08/15/2024,"11,915.02"
08/14/2024,"11,849.65"
08/13/2024,"11,796.84"
08/12/2024,"11,740.66"
08/11/2024,"11,771.69"
08/08/2024,"11,667.12"
08/07/2024,"11,729.71"
08/06/2024,"11,679.16"
08/05/2024,"11,504.46"
08/04/2024,"11,754.37"
08/01/2024,"12,045.78"
07/31/2024,"12,109.52"
07/30/2024,"12,064.65"
07/29/2024,"12,121.40"
07/28/2024,"12,175.43"
07/25/2024,"12,026.21"
07/24/2024,"12,101.21"
07/23/2024,"12,105.54"
07/22/2024,"12,174.76"
07/21/2024,"12,202.93"
07/18/2024,"12,188.32"
07/17/2024,"12,157.61"
07/16/2024,"12,080.37"
07/15/2024,"11,947.70"
07/14/2024,"11,881.55"
07/11/2024,"11,792.41"
07/10/2024,"11,784.09"
07/09/2024,"11,779.83"
07/08/2024,"11,718.17"
07/07/2024,"11,688.61"
07/04/2024,"11,658.66"
07/03/2024,"11,595.20"
07/02/2024,"11,606.09"
07/01/2024,"11,658.53"
06/30/2024,"11,679.50"
06/27/2024,"11,729.62"
06/26/2024,"11,656.35"
06/25/2024,"11,730.77"
06/24/2024,"11,697.04"
06/23/2024,"11,729.97"
06/13/2024,"11,498.93"
06/12/2024,"11,651.81"
06/11/2024,"11,775.47"
06/10/2024,"11,853.82"
06/09/2024,"11,855.11"
06/06/2024,"11,560.39"
06/05/2024,"11,553.16"
06/04/2024,"11,612.03"
06/03/2024,"11,808.25"
06/02/2024,"11,625.10"
05/30/2024,"11,503.49"
05/29/2024,"11,696.51"
05/28/2024,"11,659.94"
05/27/2024,"11,831.22"
05/26/2024,"11,850.64"
05/23/2024,"11,995.99"
05/22/2024,"12,157.03"
05/21/2024,"12,122.48"
05/20/2024,"12,125.36"
05/19/2024,"12,198.38"
05/16/2024,"12,198.44"
05/15/2024,"12,103.20"
05/14/2024,"12,120.91"
05/13/2024,"12,259.60"
05/12/2024,"12,217.05"
05/09/2024,"12,284.41"
05/08/2024,"12,460.11"
05/07/2024,"12,357.99"
05/06/2024,"12,372.50"
05/05/2024,"12,373.11"
05/02/2024,"12,352.33"
05/01/2024,"12,345.65"
04/30/2024,"12,394.91"
04/29/2024,"12,369.46"
04/28/2024,"12,231.54"
04/25/2024,"12,254.53"
04/24/2024,"12,355.69"
04/23/2024,"12,484.41"
04/22/2024,"12,508.93"
04/21/2024,"12,518.22"
04/18/2024,"12,502.35"
04/17/2024,"12,465.98"
04/16/2024,"12,500.43"
04/15/2024,"12,708.34"
04/14/2024,"12,666.90"
04/04/2024,"12,705.42"
04/03/2024,"12,622.22"
04/02/2024,"12,476.59"
04/01/2024,"12,423.01"
03/31/2024,"12,401.56"
03/28/2024,"12,565.89"
03/27/2024,"12,607.98"
03/26/2024,"12,585.54"
03/25/2024,"12,656.94"
03/24/2024,"12,796.09"
03/21/2024,"12,835.65"
03/20/2024,"12,739.33"
03/19/2024,"12,804.00"
03/18/2024,"12,772.46"
03/17/2024,"12,762.43"
03/14/2024,"12,728.53"
03/13/2024,"12,723.15"
03/12/2024,"12,613.94"
03/11/2024,"12,555.72"
03/10/2024,"12,618.62"
03/07/2024,"12,577.88"
03/06/2024,"12,561.90"
03/05/2024,"12,470.15"
03/04/2024,"12,434.59"
03/03/2024,"12,555.20"
02/29/2024,"12,630.86"
02/28/2024,"12,611.42"
02/27/2024,"12,601.55"
02/26/2024,"12,531.76"
02/25/2024,"12,604.59"
02/21/2024,"12,634.33"
02/20/2024,"12,606.50"
02/19/2024,"12,594.57"
02/18/2024,"12,502.00"
02/15/2024,"12,484.59"
02/14/2024,"12,438.77"
02/13/2024,"12,404.59"
02/12/2024,"12,295.91"
02/11/2024,"12,209.06"
02/08/2024,"12,202.78"
02/07/2024,"12,165.93"
02/06/2024,"12,071.41"
02/05/2024,"12,024.91"
02/04/2024,"11,962.72"
02/01/2024,"11,914.29"
01/31/2024,"11,796.63"
01/30/2024,"11,985.97"
01/29/2024,"12,252.81"
01/28/2024,"12,264.17"
01/25/2024,"12,161.56"
01/24/2024,"12,174.18"
01/23/2024,"12,105.33"
01/22/2024,"12,110.32"
01/21/2024,"12,003.66"
01/18/2024,"11,959.07"
01/17/2024,"12,063.00"
01/16/2024,"12,077.58"
01/15/2024,"12,122.11"
01/14/2024,"12,060.03"
01/11/2024,"12,116.09"
01/10/2024,"12,136.90"
01/09/2024,"12,197.61"
01/08/2024,"12,252.06"
01/07/2024,"12,285.07"
01/04/2024,"12,145.45"
01/03/2024,"11,928.89"
01/02/2024,"12,123.08"
01/01/2024,"12,037.04"
12/31/2023,"11,967.39"
12/28/2023,"11,931.92"
12/27/2023,"11,889.35"
12/26/2023,"11,872.63"
12/25/2023,"11,813.09"
12/24/2023,"11,690.65"
12/21/2023,"11,621.93"
12/20/2023,"11,702.90"
12/19/2023,"11,713.46"
12/18/2023,"11,676.34"
12/17/2023,"11,600.72"
12/14/2023,"11,542.93"
12/13/2023,"11,401.47"
12/12/2023,"11,395.00"
12/11/2023,"11,380.95"
12/10/2023,"11,296.72"
12/07/2023,"11,225.35"
12/06/2023,"11,174.02"
12/05/2023,"11,143.83"
12/04/2023,"11,191.39"
12/03/2023,"11,219.02"
