Date,Close,Change,Max,Min
05/13/2022,"""113.06""","""6.13""","""227.03""","""81.82"""
05/16/2022,"""110.81""","""-2.25""","""227.03""","""81.82"""
05/17/2022,"""115.37""","""4.56""","""227.03""","""81.82"""
05/18/2022,"""107.11""","""-8.26""","""227.03""","""81.82"""
05/19/2022,"""107.32""","""0.21""","""227.03""","""81.82"""
05/20/2022,"""107.59""","""0.27""","""227.03""","""81.82"""
05/23/2022,"""107.56""","""-0.03""","""227.03""","""81.82"""
05/24/2022,"""104.10""","""-3.46""","""227.03""","""81.82"""
05/25/2022,"""106.78""","""2.68""","""227.03""","""81.82"""
05/26/2022,"""111.08""","""4.30""","""227.03""","""81.82"""
05/27/2022,"""115.15""","""4.07""","""227.03""","""81.82"""
05/31/2022,"""120.21""","""5.06""","""227.03""","""81.82"""
06/01/2022,"""121.68""","""1.47""","""227.03""","""81.82"""
06/02/2022,"""125.51""","""3.83""","""227.03""","""81.82"""
06/03/2022,"""122.35""","""-3.16""","""227.03""","""81.82"""
06/06/2022,"""124.79""","""2.44""","""227.03""","""81.82"""
06/07/2022,"""123.00""","""-1.79""","""227.03""","""81.82"""
06/08/2022,"""121.18""","""-1.82""","""227.03""","""81.82"""
06/09/2022,"""116.15""","""-5.03""","""227.03""","""81.82"""
06/10/2022,"""109.65""","""-6.50""","""227.03""","""81.82"""
06/13/2022,"""103.67""","""-5.98""","""227.03""","""81.82"""
06/14/2022,"""102.31""","""-1.36""","""227.03""","""81.82"""
06/15/2022,"""107.67""","""5.36""","""227.03""","""81.82"""
06/16/2022,"""103.66""","""-4.01""","""227.03""","""81.82"""
06/17/2022,"""106.22""","""2.56""","""227.03""","""81.82"""
06/21/2022,"""108.68""","""2.46""","""227.03""","""81.82"""
06/22/2022,"""108.95""","""0.27""","""227.03""","""81.82"""
06/23/2022,"""112.44""","""3.49""","""227.03""","""81.82"""
06/24/2022,"""116.46""","""4.02""","""227.03""","""81.82"""
06/27/2022,"""113.22""","""-3.24""","""227.03""","""81.82"""
06/28/2022,"""107.40""","""-5.82""","""227.03""","""81.82"""
06/29/2022,"""108.92""","""1.52""","""227.03""","""81.82"""
06/30/2022,"""106.21""","""-2.71""","""227.03""","""81.82"""
07/01/2022,"""109.56""","""3.35""","""227.03""","""81.82"""
07/05/2022,"""113.50""","""3.94""","""227.03""","""81.82"""
07/06/2022,"""114.33""","""0.83""","""227.03""","""81.82"""
07/07/2022,"""116.33""","""2.00""","""227.03""","""81.82"""
07/08/2022,"""115.54""","""-0.79""","""227.03""","""81.82"""
07/11/2022,"""111.75""","""-3.79""","""227.03""","""81.82"""
07/12/2022,"""109.22""","""-2.53""","""227.03""","""81.82"""
07/13/2022,"""110.40""","""1.18""","""227.03""","""81.82"""
07/14/2022,"""110.63""","""0.23""","""227.03""","""81.82"""
07/15/2022,"""113.55""","""2.92""","""227.03""","""81.82"""
07/18/2022,"""113.76""","""0.21""","""227.03""","""81.82"""
07/19/2022,"""118.21""","""4.45""","""227.03""","""81.82"""
07/20/2022,"""122.77""","""4.56""","""227.03""","""81.82"""
07/21/2022,"""124.63""","""1.86""","""227.03""","""81.82"""
07/22/2022,"""122.42""","""-2.21""","""227.03""","""81.82"""
07/25/2022,"""121.14""","""-1.28""","""227.03""","""81.82"""
07/26/2022,"""114.81""","""-6.33""","""227.03""","""81.82"""
07/27/2022,"""120.97""","""6.16""","""227.03""","""81.82"""
07/28/2022,"""122.28""","""1.31""","""227.03""","""81.82"""
07/29/2022,"""134.95""","""12.67""","""227.03""","""81.82"""
08/01/2022,"""135.39""","""0.44""","""227.03""","""81.82"""
08/02/2022,"""134.16""","""-1.23""","""227.03""","""81.82"""
08/03/2022,"""139.52""","""5.36""","""227.03""","""81.82"""
08/04/2022,"""142.57""","""3.05""","""227.03""","""81.82"""
08/05/2022,"""140.80""","""-1.77""","""227.03""","""81.82"""
08/08/2022,"""139.41""","""-1.39""","""227.03""","""81.82"""
08/09/2022,"""137.83""","""-1.58""","""227.03""","""81.82"""
08/10/2022,"""142.69""","""4.86""","""227.03""","""81.82"""
08/11/2022,"""140.64""","""-2.05""","""227.03""","""81.82"""
08/12/2022,"""143.55""","""2.91""","""227.03""","""81.82"""
08/15/2022,"""143.18""","""-0.37""","""227.03""","""81.82"""
08/16/2022,"""144.78""","""1.60""","""227.03""","""81.82"""
08/17/2022,"""142.10""","""-2.68""","""227.03""","""81.82"""
08/18/2022,"""142.30""","""0.20""","""227.03""","""81.82"""
08/19/2022,"""138.23""","""-4.07""","""227.03""","""81.82"""
08/22/2022,"""133.22""","""-5.01""","""227.03""","""81.82"""
08/23/2022,"""133.62""","""0.40""","""227.03""","""81.82"""
08/24/2022,"""133.80""","""0.18""","""227.03""","""81.82"""
08/25/2022,"""137.28""","""3.48""","""227.03""","""81.82"""
08/26/2022,"""130.75""","""-6.53""","""227.03""","""81.82"""
08/29/2022,"""129.79""","""-0.96""","""227.03""","""81.82"""
08/30/2022,"""128.73""","""-1.06""","""227.03""","""81.82"""
08/31/2022,"""126.77""","""-1.96""","""227.03""","""81.82"""
09/01/2022,"""127.82""","""1.05""","""227.03""","""81.82"""
09/02/2022,"""127.51""","""-0.31""","""227.03""","""81.82"""
09/06/2022,"""126.11""","""-1.40""","""227.03""","""81.82"""
09/07/2022,"""129.48""","""3.37""","""227.03""","""81.82"""
09/08/2022,"""129.82""","""0.34""","""227.03""","""81.82"""
09/09/2022,"""133.27""","""3.45""","""227.03""","""81.82"""
09/12/2022,"""136.45""","""3.18""","""227.03""","""81.82"""
09/13/2022,"""126.82""","""-9.63""","""227.03""","""81.82"""
09/14/2022,"""128.55""","""1.73""","""227.03""","""81.82"""
09/15/2022,"""126.28""","""-2.27""","""227.03""","""81.82"""
09/16/2022,"""123.53""","""-2.75""","""227.03""","""81.82"""
09/19/2022,"""124.66""","""1.13""","""227.03""","""81.82"""
09/20/2022,"""122.19""","""-2.47""","""227.03""","""81.82"""
09/21/2022,"""118.54""","""-3.65""","""227.03""","""81.82"""
09/22/2022,"""117.31""","""-1.23""","""227.03""","""81.82"""
09/23/2022,"""113.78""","""-3.53""","""227.03""","""81.82"""
09/26/2022,"""115.15""","""1.37""","""227.03""","""81.82"""
09/27/2022,"""114.41""","""-0.74""","""227.03""","""81.82"""
09/28/2022,"""118.01""","""3.60""","""227.03""","""81.82"""
09/29/2022,"""114.80""","""-3.21""","""227.03""","""81.82"""
09/30/2022,"""113.00""","""-1.80""","""227.03""","""81.82"""
10/03/2022,"""115.88""","""2.88""","""227.03""","""81.82"""
10/04/2022,"""121.09""","""5.21""","""227.03""","""81.82"""
10/05/2022,"""120.95""","""-0.14""","""227.03""","""81.82"""
10/06/2022,"""120.30""","""-0.65""","""227.03""","""81.82"""
10/07/2022,"""114.56""","""-5.74""","""227.03""","""81.82"""
10/10/2022,"""113.67""","""-0.89""","""227.03""","""81.82"""
10/11/2022,"""112.21""","""-1.46""","""227.03""","""81.82"""
10/12/2022,"""112.90""","""0.69""","""227.03""","""81.82"""
10/13/2022,"""112.53""","""-0.37""","""227.03""","""81.82"""
10/14/2022,"""106.90""","""-5.63""","""227.03""","""81.82"""
10/17/2022,"""113.79""","""6.89""","""227.03""","""81.82"""
10/18/2022,"""116.36""","""2.57""","""227.03""","""81.82"""
10/19/2022,"""115.07""","""-1.29""","""227.03""","""81.82"""
10/20/2022,"""115.25""","""0.18""","""227.03""","""81.82"""
10/21/2022,"""119.32""","""4.07""","""227.03""","""81.82"""
10/24/2022,"""119.82""","""0.50""","""227.03""","""81.82"""
10/25/2022,"""120.60""","""0.78""","""227.03""","""81.82"""
10/26/2022,"""115.66""","""-4.94""","""227.03""","""81.82"""
10/27/2022,"""110.96""","""-4.70""","""227.03""","""81.82"""
10/28/2022,"""103.41""","""-7.55""","""227.03""","""81.82"""
10/31/2022,"""102.44""","""-0.97""","""227.03""","""81.82"""
11/01/2022,"""96.79""","""-5.65""","""227.03""","""81.82"""
11/02/2022,"""92.12""","""-4.67""","""227.03""","""81.82"""
11/03/2022,"""89.30""","""-2.82""","""227.03""","""81.82"""
11/04/2022,"""90.98""","""1.68""","""227.03""","""81.82"""
11/07/2022,"""90.53""","""-0.45""","""227.03""","""81.82"""
11/08/2022,"""89.98""","""-0.55""","""227.03""","""81.82"""
11/09/2022,"""86.14""","""-3.84""","""227.03""","""81.82"""
11/10/2022,"""96.63""","""10.49""","""227.03""","""81.82"""
11/11/2022,"""100.79""","""4.16""","""227.03""","""81.82"""
11/14/2022,"""98.49""","""-2.30""","""227.03""","""81.82"""
11/15/2022,"""98.94""","""0.45""","""227.03""","""81.82"""
11/16/2022,"""97.12""","""-1.82""","""227.03""","""81.82"""
11/17/2022,"""94.85""","""-2.27""","""227.03""","""81.82"""
11/18/2022,"""94.14""","""-0.71""","""227.03""","""81.82"""
11/21/2022,"""92.46""","""-1.68""","""227.03""","""81.82"""
11/22/2022,"""93.20""","""0.74""","""227.03""","""81.82"""
11/23/2022,"""94.13""","""0.93""","""227.03""","""81.82"""
11/25/2022,"""93.41""","""-0.72""","""227.03""","""81.82"""
11/28/2022,"""93.95""","""0.54""","""227.03""","""81.82"""
11/29/2022,"""92.42""","""-1.53""","""227.03""","""81.82"""
11/30/2022,"""96.54""","""4.12""","""227.03""","""81.82"""
12/01/2022,"""95.50""","""-1.04""","""227.03""","""81.82"""
12/02/2022,"""94.13""","""-1.37""","""227.03""","""81.82"""
12/05/2022,"""91.01""","""-3.12""","""227.03""","""81.82"""
12/06/2022,"""88.25""","""-2.76""","""227.03""","""81.82"""
12/07/2022,"""88.46""","""0.21""","""227.03""","""81.82"""
12/08/2022,"""90.35""","""1.89""","""227.03""","""81.82"""
12/09/2022,"""89.09""","""-1.26""","""227.03""","""81.82"""
12/12/2022,"""90.55""","""1.46""","""227.03""","""81.82"""
12/13/2022,"""92.49""","""1.94""","""227.03""","""81.82"""
12/14/2022,"""91.58""","""-0.91""","""227.03""","""81.82"""
12/15/2022,"""88.45""","""-3.13""","""227.03""","""81.82"""
12/16/2022,"""87.86""","""-0.59""","""227.03""","""81.82"""
12/19/2022,"""84.92""","""-2.94""","""227.03""","""81.82"""
12/20/2022,"""85.19""","""0.27""","""227.03""","""81.82"""
12/21/2022,"""86.77""","""1.58""","""227.03""","""81.82"""
12/22/2022,"""83.79""","""-2.98""","""227.03""","""81.82"""
12/23/2022,"""85.25""","""1.46""","""227.03""","""81.82"""
12/27/2022,"""83.04""","""-2.21""","""227.03""","""81.82"""
12/28/2022,"""81.82""","""-1.22""","""227.03""","""81.82"""
12/29/2022,"""84.18""","""2.36""","""227.03""","""81.82"""
12/30/2022,"""84.00""","""-0.18""","""227.03""","""81.82"""
01/03/2023,"""85.82""","""1.82""","""227.03""","""81.82"""
01/04/2023,"""85.14""","""-0.68""","""227.03""","""81.82"""
01/05/2023,"""83.12""","""-2.02""","""227.03""","""81.82"""
01/06/2023,"""86.08""","""2.96""","""227.03""","""81.82"""
01/09/2023,"""87.36""","""1.28""","""227.03""","""81.82"""
01/10/2023,"""89.87""","""2.51""","""227.03""","""81.82"""
01/11/2023,"""95.09""","""5.22""","""227.03""","""81.82"""
01/12/2023,"""95.27""","""0.18""","""227.03""","""81.82"""
