Date,Close,Change,Max,Min
03/23/2022,"""213.46""","""-3.19""","""623.77""","""88.91"""
03/24/2022,"""219.57""","""6.11""","""623.77""","""88.91"""
03/25/2022,"""221.82""","""2.25""","""623.77""","""88.91"""
03/28/2022,"""223.59""","""1.77""","""623.77""","""88.91"""
03/29/2022,"""229.86""","""6.27""","""623.77""","""88.91"""
03/30/2022,"""227.85""","""-2.01""","""623.77""","""88.91"""
03/31/2022,"""222.36""","""-5.49""","""623.77""","""88.91"""
04/01/2022,"""224.85""","""2.49""","""623.77""","""88.91"""
04/04/2022,"""233.89""","""9.04""","""623.77""","""88.91"""
04/05/2022,"""231.84""","""-2.05""","""623.77""","""88.91"""
04/06/2022,"""223.30""","""-8.54""","""623.77""","""88.91"""
04/07/2022,"""222.95""","""-0.35""","""623.77""","""88.91"""
04/08/2022,"""222.33""","""-0.62""","""623.77""","""88.91"""
04/11/2022,"""216.46""","""-5.87""","""623.77""","""88.91"""
04/12/2022,"""214.14""","""-2.32""","""623.77""","""88.91"""
04/13/2022,"""214.99""","""0.85""","""623.77""","""88.91"""
04/14/2022,"""210.18""","""-4.81""","""623.77""","""88.91"""
04/18/2022,"""210.77""","""0.59""","""623.77""","""88.91"""
04/19/2022,"""217.31""","""6.54""","""623.77""","""88.91"""
04/20/2022,"""200.42""","""-16.89""","""623.77""","""88.91"""
04/21/2022,"""188.07""","""-12.35""","""623.77""","""88.91"""
04/22/2022,"""184.11""","""-3.96""","""623.77""","""88.91"""
04/25/2022,"""186.99""","""2.88""","""623.77""","""88.91"""
04/26/2022,"""180.95""","""-6.04""","""623.77""","""88.91"""
04/27/2022,"""174.95""","""-6.00""","""623.77""","""88.91"""
04/28/2022,"""205.73""","""30.78""","""623.77""","""88.91"""
04/29/2022,"""200.47""","""-5.26""","""623.77""","""88.91"""
05/02/2022,"""211.13""","""10.66""","""623.77""","""88.91"""
05/03/2022,"""212.03""","""0.90""","""623.77""","""88.91"""
05/04/2022,"""223.41""","""11.38""","""623.77""","""88.91"""
05/05/2022,"""208.28""","""-15.13""","""623.77""","""88.91"""
05/06/2022,"""203.77""","""-4.51""","""623.77""","""88.91"""
05/09/2022,"""196.21""","""-7.56""","""623.77""","""88.91"""
05/10/2022,"""197.65""","""1.44""","""623.77""","""88.91"""
05/11/2022,"""188.74""","""-8.91""","""623.77""","""88.91"""
05/12/2022,"""191.24""","""2.50""","""623.77""","""88.91"""
05/13/2022,"""198.62""","""7.38""","""623.77""","""88.91"""
05/16/2022,"""200.04""","""1.42""","""623.77""","""88.91"""
05/17/2022,"""202.62""","""2.58""","""623.77""","""88.91"""
05/18/2022,"""192.24""","""-10.38""","""623.77""","""88.91"""
05/19/2022,"""191.29""","""-0.95""","""623.77""","""88.91"""
05/20/2022,"""193.54""","""2.25""","""623.77""","""88.91"""
05/23/2022,"""196.23""","""2.69""","""623.77""","""88.91"""
05/24/2022,"""181.28""","""-14.95""","""623.77""","""88.91"""
05/25/2022,"""183.83""","""2.55""","""623.77""","""88.91"""
05/26/2022,"""191.63""","""7.80""","""623.77""","""88.91"""
05/27/2022,"""195.13""","""3.50""","""623.77""","""88.91"""
05/31/2022,"""193.64""","""-1.49""","""623.77""","""88.91"""
06/01/2022,"""188.64""","""-5.00""","""623.77""","""88.91"""
06/02/2022,"""198.86""","""10.22""","""623.77""","""88.91"""
06/03/2022,"""190.78""","""-8.08""","""623.77""","""88.91"""
06/06/2022,"""194.25""","""3.47""","""623.77""","""88.91"""
06/07/2022,"""195.65""","""1.40""","""623.77""","""88.91"""
06/08/2022,"""196.64""","""0.99""","""623.77""","""88.91"""
06/09/2022,"""184.00""","""-12.64""","""623.77""","""88.91"""
06/10/2022,"""175.57""","""-8.43""","""623.77""","""88.91"""
06/13/2022,"""164.26""","""-11.31""","""623.77""","""88.91"""
06/14/2022,"""163.73""","""-0.53""","""623.77""","""88.91"""
06/15/2022,"""169.35""","""5.62""","""623.77""","""88.91"""
06/16/2022,"""160.87""","""-8.48""","""623.77""","""88.91"""
06/17/2022,"""163.74""","""2.87""","""623.77""","""88.91"""
06/21/2022,"""157.05""","""-6.69""","""623.77""","""88.91"""
06/22/2022,"""155.85""","""-1.20""","""623.77""","""88.91"""
06/23/2022,"""158.75""","""2.90""","""623.77""","""88.91"""
06/24/2022,"""170.16""","""11.41""","""623.77""","""88.91"""
06/27/2022,"""169.49""","""-0.67""","""623.77""","""88.91"""
