Date,Close,Change,Max,Min
03/20/2023,"""101.93""","""-0.53""","""192.66""","""83.49"""
03/21/2023,"""105.84""","""3.91""","""192.66""","""83.49"""
03/22/2023,"""104.22""","""-1.62""","""192.66""","""83.49"""
03/23/2023,"""106.26""","""2.04""","""192.66""","""83.49"""
03/24/2023,"""106.06""","""-0.20""","""192.66""","""83.49"""
03/27/2023,"""103.06""","""-3.00""","""192.66""","""83.49"""
03/28/2023,"""101.36""","""-1.70""","""192.66""","""83.49"""
03/29/2023,"""101.90""","""0.54""","""192.66""","""83.49"""
03/30/2023,"""101.32""","""-0.58""","""192.66""","""83.49"""
03/31/2023,"""104.00""","""2.68""","""192.66""","""83.49"""
04/03/2023,"""104.91""","""0.91""","""192.66""","""83.49"""
04/04/2023,"""105.12""","""0.21""","""192.66""","""83.49"""
04/05/2023,"""104.95""","""-0.17""","""192.66""","""83.49"""
04/06/2023,"""108.90""","""3.95""","""192.66""","""83.49"""
04/10/2023,"""106.95""","""-1.95""","""192.66""","""83.49"""
04/11/2023,"""106.12""","""-0.83""","""192.66""","""83.49"""
04/12/2023,"""105.22""","""-0.90""","""192.66""","""83.49"""
04/13/2023,"""108.19""","""2.97""","""192.66""","""83.49"""
04/14/2023,"""109.46""","""1.27""","""192.66""","""83.49"""
04/17/2023,"""106.42""","""-3.04""","""192.66""","""83.49"""
04/18/2023,"""105.12""","""-1.30""","""192.66""","""83.49"""
04/19/2023,"""105.02""","""-0.10""","""192.66""","""83.49"""
04/20/2023,"""105.90""","""0.88""","""192.66""","""83.49"""
04/21/2023,"""105.91""","""0.01""","""192.66""","""83.49"""
04/24/2023,"""106.78""","""0.87""","""192.66""","""83.49"""
04/25/2023,"""104.61""","""-2.17""","""192.66""","""83.49"""
04/26/2023,"""104.45""","""-0.16""","""192.66""","""83.49"""
04/27/2023,"""108.37""","""3.92""","""192.66""","""83.49"""
04/28/2023,"""108.22""","""-0.15""","""192.66""","""83.49"""
05/01/2023,"""107.71""","""-0.51""","""192.66""","""83.49"""
05/02/2023,"""105.98""","""-1.73""","""192.66""","""83.49"""
05/03/2023,"""106.12""","""0.14""","""192.66""","""83.49"""
05/04/2023,"""105.21""","""-0.91""","""192.66""","""83.49"""
05/05/2023,"""106.21""","""1.00""","""192.66""","""83.49"""
05/08/2023,"""108.24""","""2.03""","""192.66""","""83.49"""
05/09/2023,"""107.94""","""-0.30""","""192.66""","""83.49"""
05/10/2023,"""112.28""","""4.34""","""192.66""","""83.49"""
05/11/2023,"""116.90""","""4.62""","""192.66""","""83.49"""
05/12/2023,"""117.92""","""1.02""","""192.66""","""83.49"""
05/15/2023,"""116.96""","""-0.96""","""192.66""","""83.49"""
05/16/2023,"""120.09""","""3.13""","""192.66""","""83.49"""
05/17/2023,"""121.48""","""1.39""","""192.66""","""83.49"""
05/18/2023,"""123.52""","""2.04""","""192.66""","""83.49"""
05/19/2023,"""123.25""","""-0.27""","""192.66""","""83.49"""
05/22/2023,"""125.87""","""2.62""","""192.66""","""83.49"""
05/23/2023,"""123.29""","""-2.58""","""192.66""","""83.49"""
05/24/2023,"""121.64""","""-1.65""","""192.66""","""83.49"""
05/25/2023,"""124.35""","""2.71""","""192.66""","""83.49"""
05/26/2023,"""125.43""","""1.08""","""192.66""","""83.49"""
05/30/2023,"""124.64""","""-0.79""","""192.66""","""83.49"""
05/31/2023,"""123.37""","""-1.27""","""192.66""","""83.49"""
